ID,Age,Gender,Location,Education Level,Occupation
0,29,Male,Australia,Graduate,Student
1,25,Female,Germany,Undergraduate,Student
2,26,Male,Germany,PhD,Student
3,25,Female,China,Graduate,Student
4,19,Male,China,Undergraduate,Student
5,20,Non-binary,China,PhD,Student
6,30,Female,India,PhD,Student
7,22,Male,Australia,Undergraduate,Student
8,26,Non-binary,Canada,PhD,Student
9,30,Male,Australia,PhD,Student
10,19,Non-binary,USA,Graduate,Student
11,18,Male,UK,PhD,Student
12,22,Male,Germany,Graduate,Student
13,20,Male,Australia,Undergraduate,Student
14,19,Non-binary,UK,Undergraduate,Student
15,29,Male,UK,PhD,Student
16,21,Non-binary,China,PhD,Student
17,27,Non-binary,Germany,Graduate,Student
18,28,Male,Canada,Undergraduate,Student
19,19,Male,Australia,Undergraduate,Student
20,30,Female,USA,Undergraduate,Student
21,18,Female,USA,Undergraduate,Student
22,27,Female,Germany,Graduate,Student
23,30,Female,Germany,Undergraduate,Student
24,28,Non-binary,UK,Undergraduate,Student
25,26,Non-binary,Germany,Undergraduate,Student
26,29,Male,UK,PhD,Student
27,24,Male,Australia,Undergraduate,Student
28,28,Male,Canada,Undergraduate,Student
29,22,Female,Germany,Undergraduate,Student
30,30,Male,China,Graduate,Student
31,22,Male,USA,Graduate,Student
32,24,Female,Canada,PhD,Student
33,22,Male,India,Undergraduate,Student
34,21,Non-binary,China,Undergraduate,Student
35,27,Male,Australia,Graduate,Student
36,27,Non-binary,UK,PhD,Student
37,25,Non-binary,USA,Undergraduate,Student
38,26,Non-binary,USA,PhD,Student
39,24,Female,China,PhD,Student
40,22,Female,India,Undergraduate,Student
41,28,Male,Australia,Undergraduate,Student
42,24,Male,Germany,PhD,Student
43,22,Male,USA,PhD,Student
44,20,Non-binary,China,Undergraduate,Student
45,18,Male,Canada,Undergraduate,Student
46,25,Non-binary,USA,PhD,Student
47,25,Male,USA,Undergraduate,Student
48,21,Male,UK,Graduate,Student
49,18,Male,Australia,Graduate,Student
50,19,Female,USA,Undergraduate,Student
51,18,Non-binary,USA,PhD,Student
52,22,Female,UK,PhD,Student
53,29,Non-binary,Australia,Undergraduate,Student
54,29,Female,Australia,Undergraduate,Student
55,23,Non-binary,China,Undergraduate,Student
56,22,Non-binary,Germany,Undergraduate,Student
57,23,Non-binary,India,Graduate,Student
58,23,Female,USA,PhD,Student
59,26,Male,USA,Graduate,Student
60,22,Male,China,PhD,Student
61,27,Female,China,PhD,Student
62,24,Non-binary,Canada,Undergraduate,Student
63,29,Male,Germany,Graduate,Student
64,26,Non-binary,USA,Undergraduate,Student
65,25,Male,Canada,Undergraduate,Student
66,28,Female,Australia,PhD,Student
67,24,Non-binary,India,Graduate,Student
68,18,Non-binary,India,Undergraduate,Student
69,18,Non-binary,USA,Graduate,Student
70,29,Female,USA,PhD,Student
71,25,Non-binary,UK,PhD,Student
72,25,Female,UK,PhD,Student
73,29,Non-binary,UK,PhD,Student
74,24,Male,India,Undergraduate,Student
75,24,Female,China,Undergraduate,Student
76,24,Female,China,Undergraduate,Student
77,25,Female,India,PhD,Student
78,22,Female,Canada,Graduate,Student
79,28,Male,Australia,Undergraduate,Student
80,22,Male,China,Graduate,Student
81,29,Non-binary,Germany,Graduate,Student
82,19,Male,India,Undergraduate,Student
83,23,Male,USA,Undergraduate,Student
84,29,Male,USA,Undergraduate,Student
85,23,Non-binary,Canada,Undergraduate,Student
86,21,Female,Canada,PhD,Student
87,22,Non-binary,Canada,Graduate,Student
88,21,Non-binary,Canada,Undergraduate,Student
89,27,Male,USA,PhD,Student
90,20,Non-binary,Germany,PhD,Student
91,20,Female,China,PhD,Student
92,21,Non-binary,China,Undergraduate,Student
93,20,Female,UK,Graduate,Student
94,30,Non-binary,USA,Undergraduate,Student
95,24,Non-binary,Germany,PhD,Student
96,27,Female,India,Undergraduate,Student
97,19,Female,China,Graduate,Student
98,28,Non-binary,China,PhD,Student
99,18,Female,India,Graduate,Student
